id,price,name,sku,category,image_url,aisle
1, $1.50 ,Tomato,12345678,Vegetable,https://media.istockphoto.com/id/466175630/photo/tomato-isolated-on-white-background.webp?b=1&s=170667a&w=0&k=20&c=zloJA_rdhqA7aJ9O0mDDaBQOzOei3SlW2RCwvH4CxOA=,1
2, $2.50 ,Cucumber,12345678,Vegetable,https://www.bobtailfruit.co.uk/pub/media/catalog/product/cache/118fd06640efc949eafa2123c39b08e3/1/9/1918.jpg,1
3, $3.50 ,Apple,12345678,Fruit,https://www.applesfromny.com/wp-content/uploads/2020/06/SnapdragonNEW.png,2
4, $4.50 ,Peach,12345678,Fruit,https://thumbs.dreamstime.com/b/one-peach-white-background-58569816.jpg,2
5, $5.50 ,Avocado,12345678,Vegetable,https://media.istockphoto.com/id/1482149278/photo/fresh-avocado-on-white.webp?b=1&s=170667a&w=0&k=20&c=PMqxdJzrLwH-mJccYnTWhuo8He07H76Y5pwDt0nz9tc=,1
6, $6.50 ,Chickpeas,12345678,Legume,https://m.media-amazon.com/images/I/91iuJCtcdxL.jpg,3
7, $7.50 ,Strawberries,12345678,Fruit,https://media.istockphoto.com/id/174262076/photo/strawberries.jpg?s=612x612&w=0&k=20&c=PWW0-LGwwd-a2a6O3sbEgSybseEnY4N8SauR0KSR5ls=,2
8, $8.50 ,Grapes,12345678,Fruit,https://media.istockphoto.com/id/172304886/photo/bunch-of-green-grapes-laying.webp?b=1&s=170667a&w=0&k=20&c=4QqihK0xD6aNdx2_mDwbUgu_Fo6A_ZLfP5lBC8RTsT0=,2
9, $9.50 ,Carrot,12345678,Vegetable,https://thumbs.dreamstime.com/b/carrot-isolated-white-background-38516892.jpg,1
10, $10.50 ,Banana,12345678,Fruit,https://media.istockphoto.com/id/1291262112/photo/banana.webp?b=1&s=170667a&w=0&k=20&c=pPSsFoR1CX7oHJrr-bZPSoFIBO8PPf4SQDg3IbF-wcg=,2
